,Date,Time,"Press Speed 
%","Mechanical Mixer Speed 
%","2.0 Auger Speed 
%","Sludge Pump Speed 
%",Inlet Pressure LH Channel PSI,Gate LH Channel PSI,Main Flow GPM,Inlet Pressure RH Channel PSI,Gate RH Channel PSI,"Poly Dosing Rate 
GPH","Polymer Dilution Rate 
%","Dilution Water Total Calculated 
GPM","Pre-Dilution Water
GPM","Post-Dilution Water
GPM","Sludge Temp
Â°C","Sludge pH
s.u.","Filtrate
NTU","GT Solids 
%","LH Cake Solids 
%","RH Cake Solids 
%"
,4/18/2024,8:30,40,60,70,20,1.03,10,20,0.72,10,1.6,0.5,5.33,,,12.8,7.02,95.3,3.55,,
,4/18/2024,9:00,45,70,60,20,4.02,25,16,3.56,25,0.9,0.5,3,,,12,7.04,26.2,3.44,13.53,14.57
,4/18/2024,9:30,35,80,60,20,3.32,15,16,3.04,25,0.8,0.5,2.67,3.25,0.75,11.9,6.88,,3.64,14.5,12.74
,4/18/2024,10:00,30,80,40,20,2.97,10,17,2.56,25,0.8,0.5,2.67,3.25,0.75,12,7.05,17.3,3.54,12.46,13.37
,4/18/2024,10:30,25,70,60,20,2.58,20,18,2.16,20,0.75,0.5,2.5,4.25,0.75,12.5,7.02,7.56,3.55,10.1,12.75
,4/18/2024,11:00,25,80,40,20,3.47,20,17,3.08,20,0.85,0.5,2.83,4.25,0.75,12,7.11,15.6,3.5,12.58,14.91
,4/18/2024,11:30,25,60,30,10,0.75,20,25,0.46,20,0.6,0.5,2,3.75,1,11.5,7.13,,2.59,10.69,14.56
,4/18/2024,12:00,,,,,,,,,,,,,,,,,,,,
,4/18/2024,12:30,,,,,,,,,,,,,,,,,,,,
,4/18/2024,13:00,25,60,30,10,3.73,10,19,0.49,20,0.8,0.5,2.67,3.5,0.75,12.1,7.12,,2.8,13.44,14.33
,4/18/2024,13:30,40,70,50,5,2.76,15,20,2.32,20,0.8,0.5,2.67,3.75,0.75,11.8,7.2,67.2,2.75,13.83,11.8
,4/18/2024,14:00,30,70,50,10,1.87,15,10,1.66,15,0.7,0.5,2.33,3.75,0.75,12.2,7.07,36.6,3.26,18.12,16.55
,4/18/2024,14:30,30,70,50,19,2.59,15,11,2.38,15,1,0.5,3.33,3.75,0.75,12.7,7.06,61.7,3.5,11.16,14.13
,4/18/2024,15:00,30,70,60,19,0.89,15,11,0.7,0,0.9,0.5,3,3.75,0.75,12.9,7.05,29.7,3.58,14.22,11.63
,4/18/2024,15:30,30,70,60,19,1.03,15,9,0.65,15,0.9,0.5,3,3.75,0.75,11.7,6.87,46.4,3.57,13.82,17.06
,4/18/2024,16:00,30,70,60,20,0.65,0,8,0.63,0,0.9,0.5,3,3.75,0.75,11.8,6.93,38.9,3.47,18.5,19.45
,,,,,,,,,,,,,,,,,,,,,,
,4/19/2024,9:00,25,70,60,15,2.3,15,8,,,0.8,0.5,2.67,4,1,12.7,7.04,45.8,3.42,17.43,
,4/19/2024,9:30,25,75,60,16,0.96,15,10,,,0.75,0.5,2.5,3.75,1,12.5,7.03,40.5,3.43,16.86,
,4/19/2024,10:00,25,75,60,16,0.83,17,10,,,0.7,0.5,2.33,3.75,1,12.5,7.01,28.4,3.25,15.42,
,4/19/2024,10:30,25,75,60,17,0.95,17,9,,,0.7,0.5,2.33,3,1,12.6,7.04,30.6,3.43,15.73,
,4/19/2024,11:00,25,75,70,18,0.94,18,9,,,0.8,0.5,2.67,3,0,12.4,6.91,40.5,3.49,15.13,
,4/19/2024,11:30,25,75,80,19,1.43,18,10,,,0.75,0.5,2.5,3,0,12.6,7.02,33,3.45,14.01,
,4/19/2024,12:00,25,75,60,19,1.3,18,9,,,0.8,0.5,2.67,3,0,12.6,7.03,34.1,3.33,13.6,
,4/19/2024,12:30,25,70,60,18,0.97,18,10,,,0.85,0.5,2.83,4,1,12,7.05,55.6,3.46,15.09,
,4/19/2024,13:00,25,25,60,18,0.87,18,7,,,0.85,0.5,2.83,1.75,1,12.8,7.04,54.5,3.36,16.48,
,4/19/2024,13:30,25,40,60,22,2.45,18,11,,,0.9,0.5,3,2.5,1.25,12.4,7.04,75.9,3.31,13.73,
,4/19/2024,14:00,25,70,60,19,1.71,18,8,,,0.9,0.5,3,3.5,1,12.8,7.03,80.6,3.43,14.42,
,4/19/2024,14:30,30,70,60,19,1.78,18,8,,,0.9,0.5,3,3.5,1,13.3,7.03,110,3.4,15.09,